Rank,Group Name,Country,Score,Assets(mn)
1 ,KfW,Germany,30 ,566486 
2 ,Zuercher Kantonalbank,Switzerland,30 ,167945 
3 ,Landwirtschaftliche Retenbank,Germany,30 ,108711 
4 ,L-Bank,Germany,30 ,84640 
5 ,BNG Bank N.V.,Netherlands,29 ,167932 
6 ,Nederlandse Waterschapsbank,Netherlands,29 ,101924 
7 ,Kommunalbanken,Norway,29 ,47738 
8 ,NRW.BANK,Germany,26 ,175242 
9 ,Banque et Caisse d'Epargne de L'Etat,Luxembourg,25 ,54305 
10 ,Caisse des Depots et Consignations,France,24 ,207623 
11 ,The Toronto-Dominion Bank,Canada,23 ,1012760 
12 ,Royal Bank of Canada,Canada,23 ,940707 
13 ,DZ BANK,Germany,23 ,606359 
14 ,DBS Bank,Singapore,23 ,387337 
15 ,Ocersea-Chinese Banking Corporation,Singapore,23 ,340370 
16 ,Svenska Handelsbanken,Sweden,23 ,336116 
17 ,United Overseas Bank,Singapore,23 ,268287 
18 ,Korea Development Bank,South Korea,23 ,246231 
19 ,The Export-Import Bank of Korea,South Korea,23 ,78826 
20 ,Deutsche Apotheker- und Aerztebank,Germany,23 ,49583 
21 ,Banque Cantonale Vaudoise,Switzerland,23 ,46602 
22 ,Swedbank,Sweden,22 ,268778 
23 ,Industrial Bank of Korea,South Korea,22 ,255805 
24 ,SFIL,France,22 ,71010 
25 ,Banque Pictet & Cie,France,22 ,29711 
26 ,Commonwealth Bank of Australia,Australia,21 ,734723 
27 ,The Bank of Nova Scotia,Canada,21 ,709899 
28 ,ANZ Group,Australia,21 ,703415 
29 ,Nordea Bank,Sweden,21 ,697527 
30 ,Westpac Banking Corporation,Australia,21 ,667786 
31 ,National Australia Bank,Australia,21 ,617969 
32 ,Bank of Montreal,Canada,21 ,550361 
33 ,Canadian Imperial Bank of Commerce,Canada,21 ,438427 
34 ,SEB,Sweden,21 ,310925 
35 ,HSBC France,France,21 ,200935 
36 ,First Abu Dhabi Bank,UAE,21 ,182156 
37 ,Federation des Caisses Desjardins,Canada,21 ,115943 
38 ,AgriBank,United States,21 ,104500 
39 ,Sparkassen-Finanzgruppe (Sparkassen),Germany,20 ,1235669 
40 ,UBS,Switzerland,20 ,939089 
41 ,Rabobank,Netherlands,20 ,723167 
42 ,DNB Bank,Norway,20 ,326832 
43 ,Hang Seng Bank,Hong Kong,20 ,189201 
44 ,CoBank,United States,20 ,129211 
45 ,National Bank of Kuwait,Kuwait,20 ,86279 
46 ,OG Corporate Bank,Finland,20 ,165621 
47 ,AgFirst,United States,20 ,37811 
48 ,Farm Credit Bank of Texas,United States,20 ,22837 
49 ,U.S. Bancorp,United States,19 ,462040 
50 ,Bank of Taiwan,Taiwan,19 ,165621 
